r9 290 4Gb;5500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_1282209187;r9 290 4Gb;8996;120w
видеокарта 1060 3gb palit;5500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_1060_3gb_palit_1825478086;geforce gtx 1060 3gb;8991;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1060+3GB&id=3566
видеокарта 1060 3 gb;6000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_1060_3_gb_1838785965;geforce gtx 1060 3gb;8991;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1060+3GB&id=3566
palit 1060 stormx 3gb (samsung);5000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/palit_1060_stormx_3gb_samsung_1188283950;geforce gtx 1060 3gb;8991;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1060+3GB&id=3566
palit stormx 1060 3gb;6000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/palit_stormx_1060_3gb_1823035152;geforce gtx 1060 3gb;8991;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1060+3GB&id=3566
rx580 4gb gigabyte;5800;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/rx580_4gb_gigabyte_1844592897;radeon rx 580 2048sp;8653;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+580+2048SP&id=4049
gigabyte amd radeon rx 580 gaming 4gb;5500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/gigabyte_amd_radeon_rx_580_gaming_4gb_1845472545;radeon rx 580 2048sp;8653;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+580+2048SP&id=4049
msi rx 580 armor oc 4 gb;5500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/msi_rx_580_armor_oc_4_gb_1829206739;radeon rx 580 2048sp;8653;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+580+2048SP&id=4049
gigabyte gtx 970 g1 gaming 4gb;6000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/gigabyte_gtx_970_g1_gaming_4gb_1831562094;geforce gtx 970;8653;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+970&id=2954
gtx 970 zotac;6000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/gtx_970_zotac_1825270160;geforce gtx 970;8653;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+970&id=2954
sapphire rx 580 4gb nitro ;6000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/sapphire_rx_580_4gb_nitro_1010520973;radeon rx 580 2048sp;8653;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+580+2048SP&id=4049
