видеокарты rx 470 4g;3500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarty_rx_470_4g_1814398674;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
rx 570 4gb;5000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/rx_570_4gb_1822933497;radeon rx 570;6897;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+570&id=3741
видеокарта asus rx 480 4gb gddr5;5500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_asus_rx_480_4gb_gddr5_1850698273;radeon rx 480;8148;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+480&id=3533
игровая rx 460 от msi, 4gb gddr5,успей купить;3999;http://avito.ru/krasnodar/tovary_dlya_kompyutera/igrovaya_rx_460_ot_msi_4gb_gddr5uspey_kupit_1840395318;radeon rx 460;4332;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+460&id=3557
игровая видеокарта rx480;5000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/igrovaya_videokarta_rx480_1823227325;radeon rx 480;8148;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+480&id=3533
rx 570 4gb;5000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/rx_570_4gb_1850738309;radeon rx 570;6897;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+570&id=3741
gt 1030 2gb;3000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/gt_1030_2gb_1825045578;geforce gt 1030;2296;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GT+1030&id=3757
видеокарта sapphire rx 470 4g;5500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_sapphire_rx_470_4g_1838978087;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
rx 470 4gb asus, his, gigabyte;4000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/rx_470_4gb_asus_his_gigabyte_1625059878;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
видеокарта palit gtx 465;2000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_palit_gtx_465_1852273208;geforce gtx 465;2947;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+465&id=82
видеокарта nvidia gt 1030 kfa2;3500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_nvidia_gt_1030_kfa2_1834109687;geforce gt 1030;2296;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GT+1030&id=3757
gtx 745 4гига;2000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/gtx_745_4giga_1826344273;geforce gtx 745;2197;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+745&id=2843
gpu rx 470;1000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/gpu_rx_470_1200247874;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
видеокарта gigabyte rx570 4gb;6000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_gigabyte_rx570_4gb_1808261420;radeon rx 570;6897;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+570&id=3741
gigabayte 550ti 1gb;1700;http://avito.ru/krasnodar/tovary_dlya_kompyutera/gigabayte_550ti_1gb_1848358923;geforce gtx 550 ti;1921;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+550+Ti&id=16
sapphire rx470 4gb;4500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/sapphire_rx470_4gb_1820306870;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
видеокарта gigabyte rx470 msi;5500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_gigabyte_rx470_msi_1841750722;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
xfx rx 470 4гига gddr5 256бит;6000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/xfx_-_rx_470_-_4giga-gddr5-256bit_1832526729;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
rx 470 4 gb;5000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/rx_470_4_gb_1830241997;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
asus eah5770 cucore g 2di 1gd5;1300;http://avito.ru/krasnodar/tovary_dlya_kompyutera/asus_eah5770_cucoreg2di1gd5_1831924532;asus eah4870x2;496;https://www.videocardbenchmark.net/gpu.php?gpu=ASUS+EAH4870x2&id=346
видео карта nvidia gt610;1200;http://avito.ru/krasnodar/tovary_dlya_kompyutera/video_karta_nvidia_gt610_1829107320;geforce gt 610;350;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GT+610&id=33
gigabyte rx 460 4gb;5000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/gigabyte_rx_460_4gb_1342272611;radeon rx 460;4332;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+460&id=3557
n14e ge a1 видеочип nvidia gtx765m новый;3000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/n14e-ge-a1_videochip_nvidia_gtx765m_novyy_1328024763;geforce gtx 765m;1888;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+765M&id=2537
asus rx 570 4 gb бу кулер 1 не раб;4500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/asus_rx_570_4_gb_bu_kuler_1_ne_rab_1840907603;radeon rx 570;6897;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+570&id=3741
amd rx480 8gb nitro sapphire;6000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/amd_rx480_8gb_nitro_sapphire_1851672466;radeon rx 480;8148;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+480&id=3533
rx 470 4gb;6000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/rx_470_4gb_1842558084;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
видеокарта sapphire nitro rx470 4gb;4500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_sapphire_nitro_rx470_4gb_993047153;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
видеокарта palit gt 440 1024m gddr5;1000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_palit_gt_440_1024m_gddr5_1820263725;geforce gt 440;841;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GT+440&id=1423
видеокарта gigabyte rx 470 4gb;4500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_gigabyte_rx_470_4gb_1841367665;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
видеокарта gt 430 2g;1500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_gt_430_2g_1844085399;geforce gt 430;662;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GT+430&id=53
rx 470 sapphire nitro 4gb 256 bit;4700;http://avito.ru/krasnodar/tovary_dlya_kompyutera/rx_470_sapphire_nitro_4gb_256_bit_1827325835;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
видеокарта от msi 750ti;5000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_ot_msi_750ti_1797326696;geforce gtx 750 ti;3772;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+750+Ti&id=2815
видео карта gts 450 1 gb;1000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/video_karta_gts_450_1_gb_1829470284;geforce gts 450;1556;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTS+450&id=1
asus gt 610 2gb;1500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/asus_gt_610_2gb_1842273007;geforce gt 610;350;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GT+610&id=33
видеокарта gts 450;1200;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_gts-450_1830294234;geforce gts 450;1556;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTS+450&id=1
intel dual core e6500;4000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/intel_dual_core_e6500_1839019524;a6 micro 6500t quad core apu with radeonr4;220;https://www.videocardbenchmark.net/gpu.php?gpu=A6+Micro-6500T+Quad-Core+APU+with+RadeonR4&id=3424
видео карта msi n275gtx twin frozr;2800;http://avito.ru/krasnodar/tovary_dlya_kompyutera/video_karta_msi_n275gtx_twin_frozr_1185158983;geforce gtx 275;1245;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+275&id=21
2х чиповая легенда 2 гб шина 896 бит gtx 295;2500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/2h_chipovaya_legenda_2_gb_shina_896_bit_gtx_295_1834509941;geforce gtx 295;1053;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+295&id=1446
видеокарта sapphire rx 480 nitro;5700;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_sapphire_rx_480_nitro_1841215472;radeon rx 480;8148;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+480&id=3533
видеокарта nvidia quadro k610m;1500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_nvidia_quadro_k610m_1768702726;quadro k610m;758;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+K610M&id=2703
rx 480 4gb;5000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/rx_480_4gb_1849235503;radeon rx 480;8148;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+480&id=3533
видеокарта aorus rx570 обмен не интересует;6000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_aorus_rx570_obmen_ne_interesuet_1850935604;radeon rx 570;6897;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+570&id=3741
rx470 4gb;1500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/rx470_4gb_1829278650;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
видеокарта point of view 1 gb gts 450 d3 oem;1500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_point_of_view_1_gb_gts_450_d3_oem_1847450238;geforce gts 450;1556;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTS+450&id=1
msi gt 1030 aero itx 2g gddr5;3500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/msi_gt_1030_aero_itx_2g_gddr5_1774379941;geforce gt 1030;2296;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GT+1030&id=3757
rx 470 sapphire nitro;5500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/rx_470_sapphire_nitro_1840043172;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
rx 570 gigabyte;5500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/rx_570_gigabyte_1836234738;radeon rx 570;6897;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+570&id=3741
sapphire hd 7950 3 gb 384 bit;4500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/sapphire_hd_7950_3_gb_384_bit_1186479560;radeon hd 7950 r9 280;4765;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7950+%2F+R9+280&id=325
видеокарта sapphire nitro rx 480 4gb;5500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_sapphire_nitro_rx_480_4gb_1846219223;radeon rx 480;8148;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+480&id=3533
palit gts 450 1gb;2000;http://avito.ru/krasnodar/tovary_dlya_kompyutera/palit_gts_450_1gb_1438000445;geforce gts 450;1556;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTS+450&id=1
видеокарта asus engtx560 ti dc 2di 1gd5;4500;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_asus_engtx560_ti_dc2di1gd5_1796268139;geforce gtx 560 ti;3529;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+560+Ti&id=18
видеокарта palit gt610;1099;http://avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_palit_gt610_1853916793;geforce gt 610;350;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GT+610&id=33
